wavelenghts,device 1,device 2,difference ,avg,max
507.22,1502.3,1499.3,3,,
507.69,1500.7,1502,1.3,,
508.16,1499.7,1498.4,1.3,,
508.63,1499.3,1499.8,0.5,,
509.1,1502.7,1500.1,2.6,,
509.57,1498.7,1501,2.3,,
510.04,1498.7,1501.6,2.9,,
510.51,1500,1500.4,0.4,,
510.98,1501,1499.2,1.8,,
511.45,1499.3,1499.3,0,,
511.92,1501.7,1501.2,0.5,,
512.39,1499.3,1502.5,3.2,,
512.86,1499.3,1500,0.7,,
513.33,1500.3,1499.3,1,,
513.8,1500.3,1499.8,0.5,,
514.27,1500,1502.8,2.8,,
514.74,1501.7,1500.1,1.6,,
515.21,1502,1498.2,3.8,,
515.68,1499.3,1499.5,0.2,,
516.15,1500.3,1499.2,1.1,,
516.62,1500.3,1501.5,1.2,,
517.09,1502.3,1499.6,2.7,,
517.56,1499.3,1500.9,1.6,,
518.03,1501,1500.7,0.3,,
518.5,1501.7,1500.3,1.4,,
518.97,1498.3,1499.6,1.3,,
519.44,1497.7,1497.9,0.2,,
519.91,1500.7,1499,1.7,,
520.38,1498.3,1499.7,1.4,,
520.86,1501.3,1500.4,0.9,,
521.33,1500.3,1499.2,1.1,,
521.8,1497.7,1498.9,1.2,,
522.27,1503.7,1499,4.7,,
522.74,1498.3,1500.4,2.1,,
523.21,1501.3,1500.5,0.8,,
523.68,1499.7,1499.2,0.5,,
524.15,1501.7,1500.1,1.6,,
524.62,1500.7,1499,1.7,,
525.09,1497.3,1500.4,3.1,,
525.56,1497.3,1501.8,4.5,,
526.03,1500.7,1500.9,0.2,,
526.51,1499,1499.9,0.9,,
526.98,1498.3,1500.4,2.1,,
527.45,1499.3,1500,0.7,,
527.92,1497,1501.3,4.3,,
528.39,1498.3,1502.5,4.2,,
528.86,1502.7,1500.2,2.5,,
529.33,1501,1498.3,2.7,,
529.8,1500,1498.9,1.1,,
530.28,1500.3,1500.2,0.1,,
530.75,1500.7,1499.1,1.6,,
531.22,1501,1499.4,1.6,,
531.69,1498,1500.7,2.7,,
532.16,1501.7,1500.8,0.9,,
532.63,1497,1498.5,1.5,,
533.1,1500,1498.2,1.8,,
533.58,1499.3,1499.3,0,,
534.05,1497,1501.2,4.2,,
534.52,1500.3,1499,1.3,,
534.99,1500,1499.2,0.8,,
535.46,1499.3,1501.2,1.9,,
